id,name,description,category,url,frameworks,languages,features,integrations,maturityScore,popularityScore,pricing,notes
"a6ec1a08-8c1d-4ceb-9a76-06a4a70f83cd","Replit","Platform for turning ideas into apps with vibe coding and AI Agent.","IDE/Development","https://replit.com","All frameworks","All programming languages","Replit Agent;design imports from Figma;built-in Database/Auth;vibe coding;SSO","Database;Auth;Stripe;OpenAI","8","9","Custom pricing","Loved by 40M creators, trusted by Google/Anthropic/Coinbase"
"6ddb474b-203f-43d3-9a7c-613b9e00ea26","Windsurf","AI-powered IDE with deep codebase understanding and real-time collaboration.","IDE/Development","https://codeium.com/windsurf","All frameworks","All programming languages","Contextual awareness;autocomplete;Previews;linter;MCP;in-line/terminal commands","GitHub;VS Code extensions","8","9","Custom pricing","Writes 70M+ lines daily, 1M+ users, 94% AI code, 59% Fortune 500"
"a817e886-cbd2-4e07-9053-b4f0216048c4","Codeium","AI code completion tool with suggestions, chat, and search in IDEs.","IDE/Development","https://codeium.com","70+ languages","70+ programming languages","Autocomplete;chat for code;search codebase;enterprise self-host","VS Code;JetBrains;Neovim","8","8.5","Free for individuals","Free for individuals, fast, privacy-focused"
"79032425-f3a0-4278-9b39-d279e320bd95","Tabnine","Contextually aware AI platform for speeding up development with air-gapped deployments.","IDE/Development","https://www.tabnine.com","Popular languages/libraries/IDEs","All major programming languages","Context-aware suggestions;bespoke models;AI agents for review/testing/docs","Atlassian Jira;All major IDEs","8","9","Custom pricing","Gartner #1, 11% productivity boost, custom suggestions"
"944f9c44-ab76-4f5b-8ddd-ea2fdd6ea72a","React","A JavaScript library for building user interfaces","Frontend/Design","https://react.dev","Next.js;Vite;Create React App","JavaScript;TypeScript;JSX","Component-based;Virtual DOM;Hooks;Server Components","Next.js;Vite;Webpack;Babel","9.5","9.8","Free (Open Source)","Most popular frontend library, extensive ecosystem"
"c847a0a8-707a-4d4f-9f00-3d497866da1a","Next.js","React framework with server-side rendering and static site generation","Frontend/Design","https://nextjs.org","React","JavaScript;TypeScript","SSR;SSG;API Routes;App Router;Server Components","Vercel;React;Tailwind CSS;Prisma","9.2","9.5","Free (Open Source)","Production-ready React framework with excellent developer experience"
"86f2908b-da4f-42f4-a8bb-7e95c6bc5877","Bubble","Full-stack no-code app builder with visual editing and backend.","Frontend/Design","https://bubble.io","Visual Builder","No-code","Visual app builder;databases;workflows;integrations;hosting","Stripe;Google;various APIs","8.5","8.7","Free tier, paid from $25/month","Easy no-code, full-stack, trusted for MVPs"
"9fee9fd1-0c97-4243-bb45-572c791eadf0","Figma","Collaborative interface design tool for design/development teams.","Frontend/Design","https://figma.com","Design tool","Design","Create/refine products;mockups;design to code;design systems;collaboration","Developer tools;Design systems","8","9","Custom pricing","Trusted by AirBnb/Asana/Atlassian/GitHub, seamless collaboration"
"1b19901b-c18b-4145-b0e1-8e04c40e99d2","Uizard","AI-powered UI design tool for rapid prototyping from prompts/sketches.","Frontend/Design","https://uizard.io","Exports to React;Figma","Design","AI UI generation;prototyping;collaboration;export code","Figma;Adobe XD","7","7.5","Custom pricing","Fast from prompt to UI, focused on design"
"69f61222-c6f0-4bbd-997e-5810702fdc95","Supabase","Postgres development platform with database, auth, APIs, and more.","Backend/Database","https://supabase.com","ReactJS;NextJS;RedwoodJS;Flutter;Kotlin;SvelteKit;SolidJS;Vue;NuxtJS;Refine","SQL;JavaScript;TypeScript;Python","Postgres database;Auth;APIs;Edge Functions;Realtime;Storage;Vector embeddings","React;Next.js;Flutter","8","9","Free tier, Pro plans available","Trusted by Mozilla/GitHub/1Password, quick build/scale"
"6b690116-b928-4ba0-aa72-2ba7d0198e8c","Firebase","Platform for app development with AI-powered experiences.","Backend/Database","https://firebase.google.com","iOS;Android;Web;Flutter;Unity;C++","JavaScript;Swift;Kotlin;C++","Build AI experiences;managed infra;launch/monitor/iterate;Gemini integration","Gemini;Google Cloud","9","9","Free tier, pay-as-you-go","Google-backed, trusted by NPR/Duolingo, millions of users"
"5f9351da-0153-4fff-9217-013705c8d6c6","Appwrite","Open-source backend platform with auth, databases, and hosting.","Backend/Database","https://appwrite.io","13 languages for serverless functions","JavaScript;Python;PHP;Ruby;Java;etc.","Auth;scalable databases;secure storage;serverless;messaging;Realtime;hosting","All Appwrite products","8","8","Free: $0, Pro: $15/month, Scale: $599/month, Enterprise: custom","Loved by Apple/Oracle/TikTok/IBM, wide product range, global scaling"
"4458d0bb-8f82-46a6-9efe-6e5cc9a2855b","Pocketbase","Open-source backend in 1 file with database, auth, storage, and dashboard.","Backend/Database","https://pocketbase.io","JavaScript SDK","Go;JavaScript","Realtime database;auth;file storage;admin dashboard;CRUD operations","Frontend stacks","5","5","Free (Open Source)","Ready to use, integrates with frontend stacks"
"8704aeb4-612d-47e9-9e21-ae5ba2313753","Vercel","Developer tools and cloud infra for faster, personalized web.","DevOps/Deployment","https://vercel.com","Next.js;React;Vue;Svelte","JavaScript;TypeScript","Build/deploy on AI Cloud;Git deploys;collaborative previews;AI Gateway;rollbacks","GitHub;GitLab;Bitbucket","8","8","Free tier, Pro plans available","95% page load reduction, globally performant, collaborative"
"7d6288b9-39fb-4d87-8e6e-36d79b2371ba","Netlify","Platform for deploying modern frontend stacks with AI apps.","DevOps/Deployment","https://netlify.com","All frontend frameworks","JavaScript;TypeScript","Optimized builds;collaborative previews;instant rollbacks;global edge;serverless","GitHub;GitLab;Bitbucket","9","9","Free tier, Pro plans available","35M+ projects, 7M+ developers, 99.99% uptime"
"1e6d40b3-d4b3-4687-87f2-a9c10212b9ca","Render","Cloud platform for building, deploying, scaling apps.","DevOps/Deployment","https://render.com","Node.js;Python;Ruby;Docker","JavaScript;Python;Ruby","Web services/static sites/cron jobs;auto deploys;datastores;autoscaling;IaC","Slack;GitHub","8","9","Free tier, pay-as-you-go","3M+ developers, 100B requests/month, enterprise-grade"
"cac73f13-6de8-4a2c-b8c5-bef72605c266","Stripe","Payment processing platform for online payments and financial services.","Payment Platforms","https://stripe.com","JavaScript;Python;Ruby;etc.","All major programming languages","Payments;billing;fraud prevention;global support;APIs","Many e-commerce platforms;Next.js;Shopify;Supabase;Vercel;Bubble","9.5","9.7","Transaction-based fees","Developer-friendly APIs, reliable, scales for enterprises"
"88827280-fa19-43e6-b7f2-8fa14740a241","Plaid","Connects bank accounts for payments, verification, and financial data.","Payment Platforms","https://plaid.com","SDKs for various languages","JavaScript;Python;Ruby;Java","Bank connections;transactions;identity verification;payments","Stripe;Venmo;many fintech apps","9","8.5","API-based pricing","Secure bank links, wide coverage, easy integration"
"f5573ccb-3fe0-418e-8f63-33afac10ec8b","Devin","AI software engineer for coding tasks like migration, refactoring, bug fixing.","AI Coding Tools","https://devin.ai","All frameworks","All programming languages","Code migration;refactoring;data engineering;bug/backlog resolution","GitHub;Linear;Slack;Asana;Zapier;Confluence;Airtable","7","8","Custom pricing","8-12x efficiency gains, 20x cost savings, reduces errors"
"4add1339-0c0a-45c9-8215-84881a709657","AI2sql","Generates complex SQL/NoSQL queries from natural language.","AI Coding Tools","https://ai2sql.io","SQL;NoSQL","SQL","Natural language to SQL/NoSQL;multi-database support;specialized SQL tools","Database systems","7","8","Custom pricing","Simplifies SQL for non-experts, supports SQL/NoSQL"
"65ef0415-404f-4a7d-9907-bc4ad3f9724c","Reflection AI","AI code research agent for complex codebases and engineering systems.","AI Coding Tools","https://reflection.ai","All frameworks","All programming languages","Understands codebases;engineering systems;tribal knowledge","Development systems","3","2","Custom pricing","Team from DeepMind/OpenAI/Anthropic, focuses on LLM/RL/agents"
"d59a773e-6d3a-4db3-a986-e0d3f694ad1e","Semantic Kernel","Open-source kit for building AI agents with C#, Python, Java.","AI Coding Tools","https://learn.microsoft.com/en-us/semantic-kernel/overview/","C#;Python;Java","C#;Python;Java","Build AI agents;integrate AI models;modular plugins;OpenAPI support","Microsoft ecosystem","8","7","Free (Open Source)","Flexible, Microsoft-backed, enterprise-ready security"
"e01aec9b-db4b-4414-8cf1-71a0c37306e9","LangChain","Open-source framework for building AI agents with LLMs.","AI Coding Tools","https://www.langchain.com","Python;JavaScript","Python;JavaScript","Agent building;LLM integrations;chaining prompts/tools;memory;RAG","OpenAI;Anthropic;various databases;Hugging Face;Pinecone","8.5","9","Free (Open Source)","Flexible for agentic AI, widely used, community support"
"03127ae2-2d61-414c-8b6e-5cdcfc9ac2cd","CrewAI","Framework for orchestrating role-playing autonomous AI agents.","AI Coding Tools","https://crewai.com","Python","Python","Role-based agents;task delegation;multi-agent workflows;LLM integration","OpenAI;Anthropic","7.5","8","Custom pricing","Easy multi-agent setup, good for automation, community"
"618019b8-1aef-40eb-88cb-b3459225f2ae","AutoGen","Microsoft's framework for building multi-agent AI systems.","AI Coding Tools","https://microsoft.github.io/autogen/","Python","Python","Multi-agent orchestration;event-driven architecture;API integration","Microsoft Azure;OpenAI","8","8","Free (Open Source)","Strong for enterprise, good docs, Semantic Kernel integration"
"1d1e37c1-b993-4d47-a6ef-9953fe8dcf3b","gocodeo","AI unit test generator for automating code testing.","AI Coding Tools","https://www.gocodeo.com","All frameworks","All programming languages","AI code generation;project setup;testing;real-time AI coding;auto-debugging","VS Code","7","8","Custom pricing","Trusted by 25,000+ engineers, 55% coding speed increase"
"4574cddc-118e-4899-bc91-3f62c537a531","Amazon CodeWhisperer","AI coding companion with AWS integration for code suggestions.","IDE/Development","https://aws.amazon.com/codewhisperer/","15+ languages","Python;Java;JavaScript;TypeScript;C#;etc.","Code suggestions;security scans;reference tracker;AWS-specific code","AWS;VS Code;JetBrains","8","7.5","Free for individuals","Free for individuals, good for cloud devs, security focus"
"437395cd-87d8-40ee-b271-9246fc2de70c","Blackbox","AI-powered coding assistant for code generation, autocompletion, and debugging.","IDE/Development","https://www.blackbox.ai","Python;JavaScript;TypeScript;Go;C;C++;Java;C#","70+ programming languages","Code generation;autocompletion;debugging;Figma to code;image to web app;voice interaction","VS Code;GitHub","7","7.5","Custom pricing","Trusted by 10M+ users, supports 70+ languages"
"50203515-1930-41d4-a6d3-7151b6c01598","Zed","High-performance, collaborative code editor with AI integrations.","IDE/Development","https://zed.dev","Rust-based;multiple languages","All major programming languages","AI autocomplete;collaboration;high speed;Git integration","GitHub Copilot;OpenAI","7","7","Free","Fastest editor, multiplayer editing, modern UI"
"738fcd01-7dba-4050-a2bd-7bd9692e2fee","Kiro AI","AI IDE for spec-driven development and collaboration.","IDE/Development","https://kiro.dev","Claude Sonnet 3.7/4;Open VSX plugins","All programming languages","Spec-driven dev;multimodal chat;agent hooks;autopilot;MCP integration","MCP for docs/databases/APIs","7","6","Free to start","Structures AI coding, automates tasks, multimodal inputs"
"e6003d3c-0e64-4254-95ea-cbb8ac726234","Cline","Autonomous coding agent in IDE for file creation/editing and web tasks.","IDE/Development","https://github.com/cline/cline","OpenRouter;Anthropic;OpenAI;Google Gemini;AWS Bedrock;Azure;GCP Vertex","All programming languages","File analysis/editing;terminal commands;headless browser;MCP;context via @mentions","VSCode","7","6","Free (Open Source)","Handles complex tasks, supports large projects, interactive debugging"
"d545b857-532c-4df6-9f7a-028716aeb3ec","AIder","AI pair programming tool for terminal-based collaboration with LLMs.","AI Coding Tools","https://aider.chat","Python;DeepSeek;Claude 3.7 Sonnet;o3-mini","Python;All programming languages","Pair programming;start/work on projects;supports multiple LLMs","Terminal;Multiple LLMs","5","3","Custom pricing","AI-assisted terminal coding, multi-LLM support"
"5debb215-d098-40da-a273-08321285af2a","Tempo Labs","Platform for collaborative React app building with AI and drag-and-drop.","Frontend/Design","https://www.tempo.new","React","JavaScript;TypeScript","Visual React editing;design systems;VSCode/GitHub integration;AI generation","GitHub;VSCode;Storybook","6","5","Free: $0, Pro: $30/month, Agent+: $4,000/month","Designer/developer collaboration, visual editing, free/paid AI"
"1e1fb08a-80ad-427e-bd1a-42c20a98b6c6","Balsamiq","Wireframing tool for quick, low-fidelity wireframes to align teams.","Frontend/Design","https://balsamiq.com","Design tool","Design","Drag-and-drop UI;share via links/exports;low-fidelity design;templates","Design workflow","8","8","Custom pricing","Reduces rework, aligns teams, easy to use"
"d2491882-7d81-4993-bbe1-a59f3ccde44f","Locofy.ai","Converts Figma/Adobe XD designs to code automatically.","Frontend/Design","https://www.locofy.ai","React;HTML/CSS;Gatsby","JavaScript;TypeScript;HTML;CSS","Design to code conversion;component export;responsive code","Figma;Adobe XD","6.5","7","Custom pricing","Saves time on frontend coding, accurate conversions"
"1ace60f6-762c-4a9b-9de2-4d6f14c368f1","Softgen","AI tool for creating web apps via natural language with tailored roadmaps.","Frontend/Design","https://softgen.ai","Web frameworks","JavaScript;TypeScript","AI roadmap;emails;payments;auth;database;SEO;UI components","Emails;Payments;Auth;Database;Realtime Database;Cloud Storage;SEO;UI Components","5","6","Custom pricing","AI-driven roadmap generation for web apps"
"0088f56a-6148-4595-8273-e192fefffac7","Knack","No-code platform for data-rich web apps like SaaS, portals, internal tools.","Backend/Database","https://www.knack.com","No-code platform","No-code","Visual builder;no-code database;automation;triggers;templates","Various APIs and services","8","7","Custom pricing","Rapid development, predictable costs, 92% retention"
"3a179c30-493f-4880-940e-2b172f53e973","GibsonAI","AI for instant serverless SQL database design/deployment/management.","Backend/Database","https://www.gibsonai.com","PostgreSQL;MySQL;Neon;Windsurf;Cursor;VScode;CLI;Python;TypeScript;NextJS","SQL;Python;TypeScript","Instant schema;zero downtime migrations;API endpoints;natural language to SQL","PostgreSQL;MySQL;Neon;Windsurf;Cursor;VScode;CLI","5","4","Free to start","Speed in database creation, AI-native, cost-efficient"
"de05f83e-c317-4efb-a603-d9580b888815","Base44","AI platform for turning ideas into custom apps without coding.","Backend/Database","https://base44.com","All frameworks","No-code","Build apps in minutes;auto components/pages/flows;backend (auth, data);hosting","Email;SMS;external APIs;database querying","7","8","Free core features, paid from $20/month","No coding required, fast deployment, 400K+ users"
"2b9a1ca7-ba51-417f-b3b4-7a13684da14e","Nhost","Managed, extensible backend platform for speed, flexibility, and scale.","Backend/Database","https://nhost.io","SDKs (specific not detailed)","JavaScript;TypeScript","Scales with user;CI/CD;observability;CLI/dashboard;global deployment;auth SDKs","Frontend frameworks","7","7","Free tier","Rapid dev, case studies (400K+ users in 6 weeks), reduces onboarding"
"c874abbb-1208-4a5b-b324-b2b016e0b63b","UI Bakery","Low-code platform for building custom internal tools, portals, dashboards.","Frontend/Design","https://uibakery.io","JavaScript;Python;SQL","JavaScript;Python;SQL","Drag-and-drop UI;30+ integrations;code/no-code logic;Git;one-click deployment","18+ databases;17+ services/APIs;REST/OpenAPI/GraphQL","8","8","See https://uibakery.io/pricing","Rapid dev, high customization, G2 4.9/5"
"0e5b8646-76f3-4505-b07b-ed07c59ff3c3","Backendless","Platform for scalable apps with AI-driven automation.","Backend/Database","https://backendless.com","All frameworks","All programming languages","Build scalable apps;automate workflows;no-code/low-code;flexible hosting","Various services","7","6","Cloud/Pro/Managed plans","Flexible backend, intuitive interface, quick POC"
"1852ce34-e4ff-4a96-b163-18df63c495eb","Northflank","Cloud platform for deploying any project from first user to billions.","DevOps/Deployment","https://northflank.com","Any language/framework;GitHub/GitLab/Bitbucket;Kubernetes (EKS/GKE/AKS)","All programming languages","UI/CLI/APIs/GitOps;runs on AWS/GCP/Azure/Oracle;templates;secure code;vectorDBs","GitHub;GitLab;Bitbucket","8","8","CPU $0.01667/hr, Memory $0.00833/hr, NVIDIA H100 $2.74/hr, etc.","Trusted by 2,000+ startups/enterprises, scales to 3M users"
"9f03f656-4945-4e2d-a001-126714da2b97","Platform.sh","Self-service PaaS for efficient, reliable, secure infrastructure.","DevOps/Deployment","https://platform.sh","100+ frameworks;14 languages","14 programming languages","Automated infra;Git workflows;multicloud/multistack;scalability;Observability Suite","Git workflows","8","8","Custom pricing","5,000+ customers (Adobe/Economist), 219% ROI, G2 leader"
"4f2db013-6734-4bba-b8e7-edd3e66fc4ba","Codev","Converts text to full-stack Next.js apps with deployment and ownership.","DevOps/Deployment","https://www.co.dev","Next.js;Supabase (PostgreSQL)","JavaScript;TypeScript","Text to app;components/styling/functionality;package install;domain setup;CRUD","Next.js;Supabase","7","8","Custom pricing","Rapid community growth (40K+ builders), production-ready in minutes"
"7638a837-6cee-4daa-8e1a-2bbd1a96a3ed","ByteAI","Smart UML playground for technical strategies with AI tips.","Frontend/Design","https://byte-ai.io","JavaScript;Python;Node.js;C#;C++","JavaScript;Python;Node.js;C#;C++","Visual module builder;team collaboration;code assistant;AI tips","Future GitHub integration","6","5","Free Trial: $0/mo, Startup: $45/mo, Company: $299/mo, Custom","Visualization, 55% coding speed increase, reduces tech debt"
"46c14fa2-213f-4235-9b03-ec317c649e59","Continue","Open-source AI code assistant with deep IDE integration.","AI Coding Tools","https://continue.dev","All frameworks","All programming languages","Code completion;chat with codebase;refactoring;custom models","VS Code;JetBrains;OpenAI;Anthropic;Ollama","8.5","8.7","Free (Open Source)","Privacy-focused, works offline with local models"
"53e43e36-bfee-444b-ae77-56b69026917f","Codeshot","Generate code snippets and beautiful screenshots from natural language.","AI Coding Tools","https://codeshot.dev","React;Vue;Angular","JavaScript;TypeScript;Python","Code generation;screenshot creation;syntax highlighting;export options","GitHub;VS Code","7","6.5","Free tier, Pro $10/month","Great for documentation and sharing code"
"6b88f651-dea4-450c-9818-c144d1d824fd","Dify","Open-source LLM app development platform for AI-native applications.","AI Coding Tools","https://dify.ai","Python;TypeScript","Python;TypeScript","LLM orchestration;RAG engine;agent frameworks;workflow automation","OpenAI;Anthropic;Hugging Face;Local LLMs","8","8.2","Free self-hosted, Cloud from $0","Enterprise-ready, visual development interface"
"8c30bdb8-0ea6-481c-b694-5fddd6e96717","Pieces","AI-powered code snippet manager with context awareness.","IDE/Development","https://pieces.app","All frameworks","All programming languages","Snippet management;AI context;cross-platform sync;code extraction","VS Code;JetBrains;Chrome;Obsidian","8","7.5","Free personal, Team $15/user/month","Excellent for managing and sharing code snippets"
"3a937ff7-ba21-4448-8282-10a4a09d5059","Sourcery","AI-powered code review and refactoring assistant for Python.","AI Coding Tools","https://sourcery.ai","Django;Flask;FastAPI","Python","Automated refactoring;code review;quality metrics;best practices","VS Code;PyCharm;GitHub;GitLab","8.5","7.8","Free tier, Pro $10/month","Python-specific, improves code quality automatically"
"e1fa6114-0fdc-4836-8e1a-30b35deabf2d","Railway","Infrastructure platform for deploying web apps with zero config.","DevOps/Deployment","https://railway.app","All frameworks","All programming languages","Auto-deploy;database provisioning;environment management;team collaboration","GitHub;PostgreSQL;Redis;MongoDB","8","8.3","Hobby $5/month, Pro $20/month","Simpler than Kubernetes, faster than traditional PaaS"
"263743e4-a042-4c80-bf34-f90ca5185f13","Coolify","Open-source self-hostable Heroku/Netlify alternative.","DevOps/Deployment","https://coolify.io","All frameworks","All programming languages","Self-hosting;automatic SSL;database management;GitOps","GitHub;GitLab;Docker","7.5","7.8","Free (Open Source)","Complete control over infrastructure, privacy-focused"
"81f7db24-6dd7-4de0-bcde-0012d7e6a6c0","Plasmic","Visual builder for React applications with code export.","Frontend/Design","https://www.plasmic.app","React;Next.js;Gatsby","JavaScript;TypeScript","Visual editing;code sync;CMS;component marketplace","React;Next.js;Gatsby;Figma","8.5","8","Free tier, Team $28/user/month","Bridge between design and code, developer-friendly"
"6a53827a-0b28-4cb5-832a-0257cbdbc7a8","Builder.io","Visual development platform for creating digital experiences.","Frontend/Design","https://www.builder.io","React;Vue;Angular;Next.js","JavaScript;TypeScript","Visual CMS;A/B testing;personalization;headless architecture","Shopify;React;Vue;Angular","9","8.5","Free tier, Growth $99/month","Enterprise-grade, excellent for marketing teams"
"aa9d89f3-4f48-45e5-91cc-ec1a0ea2b7f8","Retool","Low-code platform for building internal tools quickly.","Frontend/Design","https://retool.com","JavaScript;SQL","JavaScript;SQL;Python","Drag-drop UI;database connectors;API integrations;custom code","PostgreSQL;MySQL;MongoDB;REST APIs","9","9","Free tier, Team $10/user/month","Industry standard for internal tools"
"a2433c22-f4b4-4897-abc1-e2f294c66b7b","Appsmith","Open-source low-code platform for building internal apps.","Frontend/Design","https://www.appsmith.com","JavaScript","JavaScript;SQL","Visual builder;database integration;REST/GraphQL;Git sync","PostgreSQL;MongoDB;REST APIs;GraphQL","8","8.2","Free self-hosted, Cloud from $0","Open-source Retool alternative"
"5e98bf53-b426-4a36-b5b8-47fd209fda78","Directus","Open-source data platform for headless CMS and API.","Backend/Database","https://directus.io","Node.js;Vue.js","JavaScript;TypeScript","Headless CMS;REST/GraphQL API;data studio;workflows","PostgreSQL;MySQL;SQLite;MongoDB","8.5","8","Free self-hosted, Cloud from $15/month","Database-first approach, very flexible"
"d050fe57-39dc-4ae6-a8aa-e2e88e8ab375","Strapi","Open-source headless CMS for building APIs quickly.","Backend/Database","https://strapi.io","Node.js;React","JavaScript;TypeScript","Content types builder;REST/GraphQL;media library;i18n","PostgreSQL;MySQL;SQLite;MongoDB","9","9.2","Free self-hosted, Cloud from $99/month","Most popular open-source headless CMS"
"0aa3d8d4-b4c3-4c64-8da6-b09299efe196","Hygraph","GraphQL-native headless CMS with content federation.","Backend/Database","https://hygraph.com","GraphQL","All via GraphQL","GraphQL API;content federation;webhooks;localization","Next.js;Gatsby;Remix;Vercel","8.5","7.8","Free tier, Pro from $299/month","Formerly GraphCMS, excellent for GraphQL projects"
"4d696573-a1c4-4b09-ac81-2be32e2d6117","Convex","Backend platform with real-time sync and serverless functions.","Backend/Database","https://www.convex.dev","React;Next.js;Vue","TypeScript;JavaScript","Real-time sync;serverless functions;ACID transactions;type safety","React;Next.js;Clerk;Auth0","7.5","7","Free tier, Pro $25/month","Modern Firebase alternative with better DX"
